reference_id,paper_id
19439376,225337742
19439376,258616795
19439376,371604234
15804200,19439376
15804200,318575074
15804200,62463805
15804200,448740430
15804200,27840725
15804200,151415834
15804200,451509976
15804200,271512818
15804200,212498751
15804200,438835588
15804200,26281840
15804200,317573539
15804200,178058529
15804200,252849574
15804200,44970399
15804200,180765022
15804200,289053023
15804200,318378906
15804200,176663331
15804200,354712249
15804200,263163411
15804200,311653235
15804200,270296631
15804200,119552317
15804200,210212037
15804200,402455867
15804200,154802573
15804200,474935933
15804200,134185246
15804200,15675040
15804200,239763365
15804200,164715988
15804200,182843774
15804200,345477320
15804200,1215902
15804200,116464792
15804200,268559027
15804200,317368978
15804200,81024264
15804200,288211489
15804200,129915841
15804200,16503035
15804200,11099417
15804200,384268138
15804200,423214596
15804200,140951443
15804200,339233587
15804200,184138648
15804200,468757080
15804200,121115123
15804200,96069737
15804200,60521385
15804200,414224803
15804200,361478992
15804200,197223853
15804200,160878338
15804200,390753470
318575074,231083109
62463805,254432509
62463805,433001614
180765022,343496924
289053023,218689502
318378906,25105909
433001614,130819417
433001614,62008193
983854,253462003
983854,351713321
983854,414771505
983854,119502869
983854,192414203
983854,153626198
474935933,374589383
258616795,482933425
258616795,390766
258616795,363067699
258616795,421726098
258616795,325285210
258616795,402801437
258616795,367874745
258616795,106071144
343496924,60388091
119502869,243143847
239763365,983854
116464792,490042016
402801437,234552592
