reference_id,paper_id
249021265,417194512
249021265,410278626
249021265,489392439
249021265,437073312
249021265,156044005
249021265,223688399
249021265,444580451
249021265,404448090
249021265,324839716
417194512,40670514
417194512,449907327
417194512,30726371
417194512,346413892
417194512,475531595
417194512,485404072
417194512,62231005
417194512,77308119
256500874,116649930
256500874,366560743
256500874,321334919
256500874,170406849
256500874,284450605
256500874,54579526
256500874,472271787
256500874,6503108
256500874,466435333
256500874,133668078
256500874,498891431
256500874,268628240
256500874,187722925
256500874,415822912
256500874,222943764
256500874,70453900
256500874,63026691
256500874,116980390
256500874,47319557
256500874,209503947
256500874,162172482
256500874,356317862
256500874,487197787
256500874,52224514
256500874,497750809
256500874,171117956
256500874,409198274
256500874,327179874
256500874,174550414
256500874,403302142
256500874,264100920
256500874,364497503
256500874,174658020
256500874,39169835
256500874,205236704
256500874,189795249
256500874,214496454
256500874,356530927
256500874,253845906
256500874,264004803
256500874,193123867
256500874,433541936
256500874,157463796
256500874,274564531
256500874,335394086
256500874,298360063
256500874,164281446
256500874,55380182
256500874,2422435
256500874,441768607
256500874,165427810
256500874,119519068
256500874,269710664
256500874,101668270
256500874,105093439
256500874,167388842
256500874,77090928
256500874,313498436
256500874,398654748
256500874,384959095
256500874,383081001
256500874,198763828
256500874,376511842
256500874,128446209
256500874,144387931
256500874,233372760
256500874,485064350
256500874,97997187
256500874,199223734
256500874,273763652
256500874,198295883
256500874,122761248
256500874,364036554
256500874,33907984
256500874,13873691
256500874,333791211
256500874,184349647
256500874,477574050
256500874,11120735
256500874,372712947
256500874,281919018
256500874,80671202
256500874,65750890
256500874,252540332
256500874,285988314
256500874,466675861
256500874,214415778
256500874,93328024
256500874,398193327
256500874,212094758
256500874,127200155
256500874,480761107
256500874,330532433
256500874,446086755
256500874,95802977
256500874,211545678
256500874,202946878
256500874,152568913
256500874,372019452
256500874,468361772
256500874,466743446
256500874,44728237
256500874,154425869
256500874,131342496
256500874,386256034
256500874,271040232
256500874,265341352
256500874,33653406
256500874,181196931
256500874,210897919
256500874,389489493
256500874,439553045
256500874,128978746
256500874,83281689
256500874,70740153
256500874,60901159
256500874,30519324
256500874,466706987
256500874,465040903
256500874,495468439
256500874,8192601
256500874,89535844
256500874,278869926
256500874,245537705
256500874,98623597
256500874,249806580
256500874,184388319
256500874,82833871
256500874,245310137
256500874,215143734
256500874,351619692
256500874,32540689
256500874,183572219
256500874,82202870
256500874,74075445
256500874,360140728
256500874,425378487
256500874,41904828
256500874,436606278
256500874,214912453
256500874,301256334
256500874,289855203
256500874,204982153
256500874,462432444
256500874,221747705
256500874,27470994
256500874,283224985
256500874,181721016
256500874,192843446
256500874,215673844
256500874,479929975
256500874,361876417
256500874,112841475
