paper_id,reference_id,year
296162997,62270017,1999
466527425,62270017,1999
46160929,62270017,2000
438420345,62270017,2000
307038076,62270017,2001
17250228,296162997,2001
104600488,438420345,2001
22931638,62270017,2001
17250228,466527425,2001
17250228,62270017,2001
104600488,62270017,2001
423575525,62270017,2001
423575525,438420345,2001
1686056,62270017,2002
173796011,438420345,2002
19426083,466527425,2002
49098300,296162997,2002
19426083,438420345,2002
404871401,62270017,2002
448187286,62270017,2002
15310271,62270017,2002
204746068,62270017,2002
241620368,62270017,2002
220905331,62270017,2002
430251461,22931638,2002
220905331,49098300,2002
382979680,22931638,2002
430251461,62270017,2002
202816628,62270017,2002
343411250,448187286,2002
343411250,1686056,2002
220905331,15310271,2002
247065786,62270017,2002
448187286,438420345,2002
279231264,62270017,2002
247065786,438420345,2002
382979680,62270017,2002
249036823,62270017,2002
173796011,62270017,2002
343411250,62270017,2002
404871401,438420345,2002
49098300,438420345,2002
343411250,438420345,2002
241620368,438420345,2002
180133235,62270017,2002
202816628,438420345,2002
19426083,62270017,2002
49098300,62270017,2002
1686056,19426083,2002
1686056,438420345,2002
180133235,438420345,2002
389745111,62270017,2003
338298617,18565512,2003
26940645,62270017,2003
433467296,15310271,2003
261292469,62270017,2003
734734,62270017,2003
486438774,438420345,2003
413321272,15310271,2003
304126725,15310271,2003
138243017,326670857,2003
39109053,326670857,2003
82568038,202816628,2003
245731670,18565512,2003
415889732,62270017,2003
414472967,466527425,2003
406127392,247065786,2003
305364187,448187286,2003
18565512,466527425,2003
486438774,448187286,2003
486438774,15310271,2003
414472967,448187286,2003
103633469,62270017,2003
305364187,15310271,2003
119647191,62270017,2003
82568038,15310271,2003
433467296,62270017,2003
261292469,11180416,2003
26940645,15310271,2003
18565512,438420345,2003
159820714,247065786,2003
401588683,62270017,2003
358709897,247065786,2003
378262073,62270017,2003
447587648,438420345,2003
119240444,62270017,2003
415889732,247065786,2003
39109053,62270017,2003
82568038,62270017,2003
52121472,62270017,2003
358709897,15310271,2003
414472967,247065786,2003
250082582,15310271,2003
195027476,247065786,2003
378262073,247065786,2003
413321272,19426083,2003
250082582,82568038,2003
226139279,438420345,2003
130310758,62270017,2003
433467296,343411250,2003
82568038,19426083,2003
305364187,19426083,2003
486438774,19426083,2003
103092903,438420345,2003
39109053,103633469,2003
129661624,103633469,2003
227953955,365989708,2003
304126725,305364187,2003
52121472,438420345,2003
433467296,438420345,2003
119647191,438420345,2003
344003713,62270017,2003
245731670,129661624,2003
226139279,62270017,2003
195027476,438420345,2003
365989708,52121472,2003
76245012,52121472,2003
130310758,52121472,2003
103004246,438420345,2003
338298617,438420345,2003
103092903,62270017,2003
245731670,438420345,2003
227953955,62270017,2003
159820714,438420345,2003
193976667,404871401,2003
159820714,423575525,2003
250082582,404871401,2003
206709624,358709897,2003
242722419,62270017,2003
415952830,438420345,2003
227953955,82568038,2003
112493979,438420345,2003
103633469,438420345,2003
250082582,62270017,2003
378262073,438420345,2003
82568038,438420345,2003
129661624,119240444,2003
304126725,19426083,2003
358709897,62270017,2003
389745111,382979680,2003
138243017,62270017,2003
320743674,438420345,2003
250082582,19426083,2003
242722419,438420345,2003
358709897,19426083,2003
193976667,438420345,2003
389745111,22931638,2003
193976667,62270017,2003
76245012,438420345,2003
76245012,62270017,2003
401588683,22931638,2003
382646283,438420345,2003
130310758,438420345,2003
382646283,62270017,2003
26940645,19426083,2003
103004246,404871401,2003
185857680,62270017,2003
365989708,62270017,2003
109895509,438420345,2003
305364187,62270017,2003
245731670,62270017,2003
365989708,49098300,2003
358709897,296162997,2003
250082582,49098300,2003
414472967,486438774,2003
358709897,49098300,2003
326670857,296162997,2003
414472967,62270017,2003
206709624,62270017,2003
358709897,115825778,2003
11180416,62270017,2003
433467296,486438774,2003
485510498,466527425,2003
11180416,296162997,2003
486438774,62270017,2003
486438774,49098300,2003
406127392,62270017,2003
227953955,49098300,2003
250082582,486438774,2003
195027476,62270017,2003
491784109,62270017,2003
138243017,296162997,2003
32440118,296162997,2003
413321272,49098300,2003
304126725,49098300,2003
159820714,62270017,2003
305364187,296162997,2003
115825778,62270017,2003
320743674,17250228,2003
103004246,62270017,2003
109895509,62270017,2003
365989708,17250228,2003
734734,17250228,2003
320743674,296162997,2003
413321272,62270017,2003
485510498,62270017,2003
103633469,307038076,2003
261292469,296162997,2003
447587648,62270017,2003
185857680,17250228,2003
39109053,296162997,2003
39109053,180133235,2003
304126725,296162997,2003
242722419,226139279,2003
26940645,49098300,2003
326670857,62270017,2003
18565512,245731670,2003
39109053,466527425,2003
250082582,220905331,2003
129661624,62270017,2003
320743674,466527425,2003
338298617,62270017,2003
242722419,49098300,2003
415952830,62270017,2003
486438774,466527425,2003
250082582,130310758,2003
26940645,220905331,2003
112493979,447587648,2003
112493979,62270017,2003
304126725,448187286,2003
358709897,448187286,2003
338298617,245731670,2003
227953955,130310758,2003
304126725,62270017,2003
137934279,62270017,2003
177862962,62270017,2003
415952830,173796011,2003
227953955,466527425,2003
326670857,466527425,2003
245731670,338298617,2003
119647191,173796011,2003
82568038,49098300,2003
32440118,62270017,2003
129661624,338298617,2003
18565512,62270017,2003
320743674,62270017,2003
206709624,486438774,2003
498444071,7869985,2004
450278722,438420345,2004
370416709,19426083,2004
180133235,7869985,2004
90325716,438420345,2004
190425097,49098300,2004
261727410,49098300,2004
115193182,62270017,2004
64882936,62270017,2004
21321213,49098300,2004
395377617,62270017,2004
494428471,7869985,2004
304126725,7869985,2004
289449437,62270017,2004
300428885,7869985,2004
82499921,19426083,2004
262510470,62270017,2004
21321213,19426083,2004
95979332,7869985,2004
100907717,7869985,2004
358709897,7869985,2004
82568038,7869985,2004
39109053,7869985,2004
261727410,7869985,2004
440581410,7869985,2004
370416709,62270017,2004
370416709,49098300,2004
305364187,7869985,2004
112493979,7869985,2004
305288490,62270017,2004
415952830,7869985,2004
137934279,7869985,2004
372894162,62270017,2004
224480798,7869985,2004
414472967,7869985,2004
395377617,7869985,2004
21321213,7869985,2004
453907326,62270017,2004
30761666,438420345,2004
498444071,438420345,2004
213265761,62270017,2004
7869985,438420345,2004
411427185,62270017,2004
450278722,62270017,2004
491037503,62270017,2004
403776698,438420345,2004
226139279,7869985,2004
196560312,62270017,2004
307055523,62270017,2004
90325716,62270017,2004
333026252,49098300,2004
289449437,49098300,2004
411024715,7869985,2004
138243017,7869985,2004
411427185,49098300,2004
95979332,438420345,2004
450278722,7869985,2004
196560312,438420345,2004
120258829,438420345,2004
130305595,62270017,2004
260361615,62270017,2004
260361615,247065786,2004
95979332,486438774,2004
9715123,62270017,2004
491037503,247065786,2004
196042466,62270017,2004
152857318,486438774,2004
453907326,438420345,2004
261727410,62270017,2004
395377617,438420345,2004
100907717,326670857,2004
213265761,486438774,2004
487848398,438420345,2004
411427185,486438774,2004
89070343,486438774,2004
411427185,326670857,2004
410542785,438420345,2004
4339088,438420345,2004
261622842,62270017,2004
82499921,62270017,2004
410542785,338298617,2004
41598602,62270017,2004
468273834,62270017,2004
196560312,448187286,2004
417208412,448187286,2004
130305595,438420345,2004
89070343,438420345,2004
455128346,438420345,2004
33515478,438420345,2004
419210915,62270017,2004
7869985,247065786,2004
220809175,438420345,2004
213265761,413321272,2004
410542785,245731670,2004
26273608,62270017,2004
494428471,247065786,2004
440581410,62270017,2004
63193979,62270017,2004
159191256,62270017,2004
12366334,438420345,2004
370416709,448187286,2004
100398622,62270017,2004
450278722,224480798,2004
33515478,486438774,2004
410542785,62270017,2004
411024715,62270017,2004
333026252,62270017,2004
400062340,438420345,2004
33515478,62270017,2004
411024715,438420345,2004
455128346,62270017,2004
90325716,49098300,2004
261622842,438420345,2004
487848398,62270017,2004
190425097,62270017,2004
213265761,49098300,2004
89070343,62270017,2004
12468080,62270017,2004
7790696,485510498,2004
213265761,19426083,2004
213265761,433467296,2004
33515478,433467296,2004
450278722,49098300,2004
21321213,62270017,2004
4339088,62270017,2004
7790696,62270017,2004
220809175,62270017,2004
224480798,438420345,2004
213265761,17250228,2004
498444071,224480798,2004
9715123,438420345,2004
417208412,62270017,2004
120258829,62270017,2004
21321213,17250228,2004
403776698,49098300,2004
224480798,62270017,2004
30761666,49098300,2004
159191256,438420345,2004
400062340,62270017,2004
261727410,438420345,2004
88427527,19426083,2004
151951230,62270017,2004
440581410,279231264,2004
498444071,49098300,2004
411427185,17250228,2004
305288490,7869985,2004
120258829,7869985,2004
370416709,7869985,2004
213265761,15310271,2004
7790696,15310271,2004
21321213,15310271,2004
7869985,62270017,2004
82499921,15310271,2004
261727410,15310271,2004
419210915,15310271,2004
468273834,15310271,2004
63193979,15310271,2004
403776698,62270017,2004
455128346,466527425,2004
120258829,447587648,2004
151951230,466527425,2004
497351970,62270017,2004
152857318,62270017,2004
370416709,15310271,2004
411427185,15310271,2004
41598602,447587648,2004
33515478,15310271,2004
491037503,447587648,2004
64882936,447587648,2004
100907717,62270017,2004
26273608,466527425,2004
450278722,21321213,2004
328582383,15310271,2004
64882936,41598602,2004
491037503,41598602,2004
264125514,22931638,2004
494428471,22931638,2004
206709624,370416709,2004
100398622,22931638,2004
159191256,378262073,2004
450278722,370416709,2004
494428471,378262073,2004
130305595,119240444,2004
129055260,119240444,2004
224480798,82568038,2004
419210915,370416709,2004
261727410,82568038,2004
213265761,82568038,2004
88427527,82568038,2004
410542785,18565512,2004
224480798,202816628,2004
88427527,15310271,2004
437441253,15310271,2004
328582383,62270017,2004
411024715,21321213,2004
400062340,466527425,2004
100907717,466527425,2004
30761666,289449437,2004
108433038,62270017,2004
196560312,1686056,2004
455128346,173796011,2004
261622842,1686056,2004
328582383,382646283,2004
152857318,382646283,2004
