reference_id,paper_id
277734549,107335841
277734549,169873891
328354481,127761674
328354481,418698170
328354481,127674771
251758081,385461154
251758081,357979136
251758081,416485457
251758081,358240380
251758081,68433460
251758081,160052308
251758081,84994715
251758081,230704382
162868488,277734549
162868488,328354481
162868488,282956164
162868488,251758081
162868488,253683639
162868488,283769803
162868488,146137584
162868488,179495267
162868488,409580026
162868488,142392216
162868488,62069545
162868488,335256769
162868488,179036691
162868488,223843948
162868488,488793263
162868488,183362389
162868488,367205203
162868488,292127604
162868488,82932053
162868488,338700411
162868488,467071394
162868488,323197384
162868488,415612371
162868488,408569904
162868488,170423313
162868488,390983229
162868488,98366447
162868488,229990166
162868488,67046588
162868488,98333854
162868488,5667026
162868488,164137043
162868488,392293724
162868488,154054573
162868488,262475177
162868488,425843261
162868488,493998846
162868488,454569776
162868488,300210510
162868488,458082687
201743613,355532447
357979136,336401381
357979136,461734817
357979136,470700599
388778961,101136078
388778961,193703624
388778961,133788709
388778961,271414979
388778961,129532689
388778961,249492542
253683639,388778961
253683639,475614907
253683639,416971705
68433460,201743613
68433460,132162212
68433460,241488396
127761674,37466923
127761674,318154844
127761674,15008750
127761674,326968139
127761674,450169800
146137584,25823403
318154844,240687707
169873891,177862962
169873891,91506959
169873891,284497254
142392216,369831035
142392216,82977274
160052308,453407828
160052308,10767500
179036691,456496053
179036691,247891200
82932053,484676908
10767500,358912338
475614907,416008650
475614907,16557297
82977274,91293941
230704382,403351784
230704382,23257929
230704382,60206152
5667026,310870246
