reference_id,paper_id
229288872,242439550
229288872,425663115
229288872,439381611
229288872,405781605
229288872,29344127
229288872,343411250
229288872,155547606
229288872,140390286
229288872,209922701
229288872,100010609
229288872,75261935
229288872,6432332
229288872,380106236
229288872,196560312
242439550,394978928
15843361,252528843
15843361,493440689
15843361,434330001
15843361,297063178
15843361,138550952
344180001,15843361
344180001,311610700
344180001,365453755
344180001,143247581
344180001,408152775
344180001,142710301
344180001,483153650
344180001,278420423
344180001,348025898
344180001,138216268
344180001,241620368
344180001,119039261
344180001,154536158
344180001,103699473
344180001,136886481
344180001,485510498
344180001,137805113
344180001,278086424
344180001,440554804
344180001,112686404
344180001,75583273
344180001,409834676
344180001,159719579
344180001,168270639
344180001,35907311
344180001,476948841
344180001,113272246
344180001,444344294
344180001,382646283
344180001,450339020
344180001,347529437
344180001,197895631
344180001,184551769
344180001,65174728
344180001,130626267
344180001,138478812
344180001,424569489
344180001,353325473
344180001,203705705
344180001,226391152
344180001,376734448
344180001,15092895
344180001,464963931
344180001,175459783
344180001,12043840
344180001,333129652
344180001,441830315
344180001,482573512
344180001,433135387
344180001,226151447
344180001,260044839
344180001,408439245
344180001,102210605
311610700,148756612
493440689,74143921
493440689,373218734
493440689,185067492
74143921,488920344
74143921,89666858
373218734,11755432
373218734,46456102
373218734,80367649
373218734,437351109
373218734,445772051
373218734,245852372
373218734,16085927
373218734,382042029
373218734,410340127
373218734,405993393
373218734,141561598
208583726,312516759
343411250,348311639
119039261,162204617
119039261,1163065
485510498,268470241
485510498,331116992
485510498,69297042
485510498,333083844
485510498,44629956
434330001,62840616
434330001,39621556
155547606,129552928
1163065,414135739
25177454,77794437
25177454,374133487
25177454,21673255
25177454,420817400
46456102,273600668
46456102,235742461
61909285,454807563
75583273,208583726
75583273,12370578
75583273,39696771
75583273,406232688
75583273,379074619
75583273,241374751
75583273,420849071
75583273,287950529
168270639,348729730
168270639,430659233
80367649,464937024
68683820,25177454
138550952,68683820
138550952,379795343
185067492,330257769
382646283,380947345
382646283,460566272
382646283,418771286
382646283,260733192
382646283,120258829
382646283,411427185
380947345,448527825
380947345,26636803
130626267,159300192
138478812,312568363
16085927,61909285
16085927,106232211
7790696,190612261
418771286,152857318
141561598,241455058
235742461,7790696
