"id","title","year","journal_name","conf_name"
"369622569","Environmental Effects on the Growth of Supermassive Black Holes and Active Galactic Nucleus Feedback","2012","The Astrophysical Journal",
"152948811","Integral-Field Spectroscopy of the Centaurus A Nucleus","2008","Monthly Notices of the Royal Astronomical Society",
"34393790","X-Ray Observations of Powerful AGN Outflows","2014","Space Science Reviews",
"215200671","Black hole growth and AGN feedback under clumpy accretion","2017","Monthly Notices of the Royal Astronomical Society",
"375216186","Coevolution and Downsizing of Supermassive Black Holes and Galactic Bulges","2008",,
"455040715","DEMOGRAPHICS OF SLOAN DIGITAL SKY SURVEY GALAXIES ALONG THE HUBBLE SEQUENCE","2013","The Astronomical Journal",
"39187507","Higher prevalence of X-ray selected AGN in intermediate-age galaxies up to z ∼ 1","2014","Monthly Notices of the Royal Astronomical Society",
"92389","The Assembly of Present‐Day Galaxies as Witnessed by Deep Surveys","2008",,
"490028459","The host galaxy/AGN connection - Brightness profiles of early-type galaxies hosting Seyfert nuclei","2007","Astronomy and Astrophysics",
"326987500","Measuring the Mass of the Central Black Hole in the Bulgeless Galaxy NGC 4395 from Gas Dynamical Modeling","2015","The Astrophysical Journal",
"287217862","The DWT power spectrum analysis of the large scale structure in the universe: Method and simulation tests","2001","Science China-mathematics",
"146242564","An X-ray variable absorber within the Broad Line Region in Fairall 51","2015","Astronomy and Astrophysics",
"350697876","MASSIVE BLACK HOLE EVOLUTION IN RADIO-LOUD ACTIVE GALACTIC NUCLEI","2003","Journal of the Korean Astronomical Society",
"438717149","On Black Hole Masses and Radio Loudness in Active Galactic Nuclei","2000","The Astrophysical Journal",
"343299042","FORMATION AND EVOLUTION OF GALACTIC NUCLEI, BLACK HOLES *","2003","Astrophysics and Space Science",
"443359010","AEGIS: DEMOGRAPHICS OF X-RAY AND OPTICALLY SELECTED ACTIVE GALACTIC NUCLEI","2011","The Astrophysical Journal",
"286905050","BLACK HOLE MASS, VELOCITY DISPERSION, AND THE RADIO SOURCE IN ACTIVE GALACTIC NUCLEI","2000","The Astrophysical Journal",
"155528901","Dynamical evolution driven by bars and interactions : Input from numerical simulations","2002","Astrophysics and Space Science",
"165366535","GALAXY ROTATION AND RAPID SUPERMASSIVE BINARY COALESCENCE","2015","The Astrophysical Journal",
"64793582","Evolution of Supermassive Black Holes","2007","arXiv: Astrophysics",
"317120382","ACTIVE GALACTIC NUCLEUS AND QUASAR SCIENCE WITH APERTURE MASKING INTERFEROMETRY ON THE JAMES WEBB SPACE TELESCOPE","2014","The Astrophysical Journal",
"150652805","Black holes: Evolution of massive black holes","2011","arXiv: Astrophysics",
"221363713","Quasars: The Observational Perspectives","2012","Springer US",
"7245088","The Halo Occupation Distribution of Black Holes: Dependence on Mass","2011","arXiv: Cosmology and Nongalactic Astrophysics",
"470373483","Jets and AGN Feedback","2012",,
"69754622","The Central Kiloparsec-Scale Structure of Galaxies","2001","arXiv: Astrophysics",
"335338051","NUclei of GAlaxies - V. Radio emission in 7 NUGA sources","2007","Astronomy and Astrophysics",
"77109315","The black hole masses in galactic nuclei","2010",,
"200242915","Extragalactic Background Light, MACHOs, and the Cosmic Stellar Baryon Budget","2001","arXiv: Astrophysics",
"138340537","Stellar and quasar feedback in concert: Effects on AGN accretion, obscuration, and outflows","2016","Monthly Notices of the Royal Astronomical Society",
"471016079","ACTIVE GALACTIC NUCLEUS FEEDBACK IN AN ISOLATED ELLIPTICAL GALAXY: THE EFFECT OF STRONG RADIATIVE FEEDBACK IN THE KINETIC MODE","2014","The Astrophysical Journal",
"371572290","Colliding Black Holes and Gravitational Waves","2009",,
"394977866","HS 1700+6416: the first high-redshift unlensed narrow absorption line-QSO showing variable high-velocity outflows","2012","Astronomy and Astrophysics",
"429672071","First Detection of 12CO (1→ 0) Emission from Two Narrow-Line Seyfert 1 Galaxies","2008","The Astrophysical Journal",
"324860079","Molecular Gas at High Redshift","2011","arXiv: Cosmology and Nongalactic Astrophysics",
"491992888","Supermassive black holes in galaxies","2007","Comptes Rendus Physique",
"356064335","HUNTING FOR SUPERMASSIVE BLACK HOLES IN NEARBY GALAXIES WITH THE HOBBY-EBERLY TELESCOPE","2015","Astrophysical Journal Supplement Series",
"182430040","THE BIASES OF OPTICAL LINE-RATIO SELECTION FOR ACTIVE GALACTIC NUCLEI AND THE INTRINSIC RELATIONSHIP BETWEEN BLACK HOLE ACCRETION AND GALAXY STAR FORMATION","2015","The Astrophysical Journal",
"119075472","Non gravitational heating mechanisms in galaxy clusters","2007",,
"36960001","Black Holes: Physics and Astrophysics","2005",,
"239002582","The near-infrared properties of the host galaxies of radio quasars","2003","Astronomy and Astrophysics",
"233679732","Black hole scaling relationships and NLS1s","2011",,
"207691059","The resolution bias: low-resolution feedback simulations are better at destroying galaxies","2015","Monthly Notices of the Royal Astronomical Society",
"324037580","Active galactic nuclei emission line diagnostics and the mass-metallicity relation up to redshift z ∼ 2: The impact of selection effects and evolution","2014","The Astrophysical Journal",
"46576835","An over-massive black hole in a typical star-forming galaxy, 2 billion years after the Big Bang","2015","Science",
"129792502","SUPER-MASSIVE BLACK HOLE MASS SCALING RELATIONS","2015","arXiv: Astrophysics of Galaxies",
"156724886","Fundamental Cosmological Observations and Data Interpretation","2009",,
"486698799","From Observations to Physical Parameters","2012",,
"135045348","Galaxies Hosting AGN Activity and Their Environments","2010",,
"394500678","A simple way to classify supermassive black holes","2014","Astronomische Nachrichten",
"373797655","Supermassive Black Holes in the Universe","2004",,
"433902879","Mergers, active galactic nuclei and ‘normal’ galaxies: contributions to the distribution of star formation rates and infrared luminosity functions","2010","Monthly Notices of the Royal Astronomical Society",
"473272024","Overmassive black holes in the MBH–σ diagram do not belong to over (dry) merged galaxies","2015","Monthly Notices of the Royal Astronomical Society",
"115519720","Active galactic nuclei in the mid-IR: evolution and contribution to the cosmic infrared background","2006","Astronomy and Astrophysics",
"193671010","Starbursts in Low Luminosity Active Galactic Nuclei","2005",,
"207330282","The Sloan Digital Sky Survey Reverberation Mapping Project: Post-Starburst Signatures in Quasar Host Galaxies at z < 1","2015","The Astrophysical Journal",
"473881086","Numerical Models of Galaxy Evolution: Black Hole Feedback and Disk Heating","2012",,
"33865312","Birth of massive black hole binaries","2007","arXiv: Astrophysics",
"383846633","Mid-infrared luminous quasars in the GOODS–Herschel fields: a large population of heavily obscured, Compton-thick quasars at z ≈ 2","2016","Monthly Notices of the Royal Astronomical Society",
"450472590","Black Hole Binary Mergers","2005","Highlights of Astronomy",
"297069018","The stellar kinematic signature of massive black hole binaries","2010","Monthly Notices of the Royal Astronomical Society",
"497296124","A LARGE SYSTEMATIC SEARCH FOR CLOSE SUPERMASSIVE BINARY AND RAPIDLY RECOILING BLACK HOLES","2012","Astrophysical Journal Supplement Series",
"226087329","Accreting supermassive black holes in the COSMOS field and the connection to their host galaxies","2012","Monthly Notices of the Royal Astronomical Society",
"178410393","Constraining FeLoBAL outflows from absorption line variability","2015","Monthly Notices of the Royal Astronomical Society",
"369147079","Why Are AGN and Host Galaxies Misaligned","2011","arXiv: Cosmology and Nongalactic Astrophysics",
"199568242","Spiral Galaxies with HST/NICMOS. II. Isophotal Fits and Nuclear Cusp Slopes*","2002","The Astronomical Journal",
"273627869","Black holes: Stellar relaxation processes near the Galactic massive black hole","2011","arXiv: Astrophysics",
"242584402","A Measurement of the Black Hole Mass in NGC 1097 Using ALMA","2015","The Astrophysical Journal",
"152880509","The formation of satellite galaxies and their associated black holes","2006","The Observatory",
"124480588","The overmassive black hole in NGC 1277: new constraints from molecular gas kinematics","2016","Monthly Notices of the Royal Astronomical Society",
"291139356","Tracing the relation between black holes and dark haloes","2004","arXiv: Astrophysics",
"83931719","The Sloan Digital Sky Survey Reverberation Mapping project: : no evidence for evolution in the M•-σ* Relation to z~1","2015","The Astrophysical Journal",
"63513684","Dark Matter in Elliptical Galaxies","2012","arXiv: Cosmology and Nongalactic Astrophysics",
"62730669","A local baseline of the black hole mass scaling relations for active galaxies. III. the MBH-σ relation","2015","The Astrophysical Journal",
"329755579","The Fueling and Evolution of AGN: Internal and External Triggers","2006","Lecture Notes in Physics",
"108843133","Searching for intermediate mass black holes: understanding the data first","2014","arXiv: Astrophysics of Galaxies",
"25288395","The Illustris simulation: the evolving population of black holes across cosmic time","2015","Monthly Notices of the Royal Astronomical Society",
"271476082","Infrared signature of active massive black holes in nearby dwarf galaxies","2017","Astronomy and Astrophysics",
"147368654","The 2dF-SDSS LRG and QSO Survey: QSO clustering and the L-z degeneracy","2007","Monthly Notices of the Royal Astronomical Society",
"236926563","AGN feedback in action: a new powerful wind in 1SXPS J050819.8+172149?","2015","Astronomy and Astrophysics",
"220294470","Cosmological evolution of supermassive black holes in galactic centers unveiled by hard X-ray observations.","2015",,
"287390785","X-RAY CAVITIES IN A SAMPLE OF 83 SPT-SELECTED CLUSTERS OF GALAXIES: TRACING THE EVOLUTION OF AGN FEEDBACK IN CLUSTERS OF GALAXIES OUT TO z = 1.2","2015","The Astrophysical Journal",
"190090539","VARIABILITY AND MULTIWAVELENGTH-DETECTED ACTIVE GALACTIC NUCLEI IN THE GOODS FIELDS","2011","The Astrophysical Journal",
"77910403","ALMA detection of a disc-dominated [C ii] emission line at z=4.6 in the luminous QSO J1554+1937","2015","Monthly Notices of the Royal Astronomical Society",
"437142306","Bulges and Disklike Components in the Host Galaxies of Low-Redshift 3CR Sources: A Near-Infrared View of Their Radial Brightness Profiles","2007","The Astrophysical Journal",
"341445841","Mechanical AGN feedback: controlling the thermodynamical evolution of elliptical galaxies","2012","Monthly Notices of the Royal Astronomical Society",
"439894906","A XMM-Newton observation of a sample of four close dwarf spheroidal galaxies","2015","Monthly Notices of the Royal Astronomical Society",
