paper_id,reference_id,year
135713629,372720438,2013
40966658,372720438,2013
173890311,372720438,2013
189561423,16878307,2013
474531446,372720438,2013
175506451,59420930,2013
3172689,372720438,2013
18964655,372720438,2013
16878307,372720438,2013
6084254,372720438,2013
346921259,372720438,2013
212840845,372720438,2013
338230581,415925288,2013
192137852,346921259,2013
35459386,372720438,2013
320669880,372720438,2013
399477673,372720438,2013
192137852,372720438,2013
126986251,372720438,2013
346921259,415925288,2013
164872045,372720438,2013
189561423,372720438,2013
196798873,372720438,2013
6084254,196798873,2013
189561423,35459386,2013
415925288,372720438,2013
237816199,372720438,2013
415925288,59420930,2013
478418683,372720438,2013
338230581,372720438,2013
219171867,372720438,2013
18116067,372720438,2013
257387666,372720438,2013
16878307,59420930,2013
320669880,59420930,2013
316327699,372720438,2013
338230581,59420930,2013
175506451,372720438,2013
18964655,59420930,2013
320669880,415925288,2013
59420930,372720438,2013
426183726,272585564,2014
89731484,272585564,2014
479360422,139431508,2014
9997996,272585564,2014
487668159,170954652,2014
485818596,372720438,2014
487541535,139431508,2014
487668159,406391554,2014
367748069,406391554,2014
22725049,92304756,2014
256923838,59238637,2014
167490674,92304756,2014
338230581,272585564,2014
261223262,59238637,2014
57695632,272585564,2014
40854809,170954652,2014
19810196,18964655,2014
488458520,18964655,2014
437944255,18964655,2014
256923838,170954652,2014
389053715,89183411,2014
339876904,89183411,2014
46200918,170954652,2014
261223262,493885805,2014
367748069,170954652,2014
488458520,170954652,2014
400046591,170954652,2014
87219984,455063752,2014
227994730,372720438,2014
314625654,170954652,2014
177369348,372720438,2014
459707506,5223165,2014
177842184,272585564,2014
248331166,272585564,2014
198167927,272585564,2014
388117573,372720438,2014
161258158,18964655,2014
419975680,18964655,2014
375818008,18964655,2014
458653373,18964655,2014
69151489,18964655,2014
493885805,18964655,2014
135203533,170954652,2014
7166296,272585564,2014
49675822,372720438,2014
342591311,196798873,2014
153056531,59420930,2014
167490674,59420930,2014
395712148,59420930,2014
22725049,59420930,2014
347931576,59420930,2014
205527320,59420930,2014
105191096,59420930,2014
323431444,59420930,2014
92304756,59420930,2014
223180428,59420930,2014
548416,59420930,2014
369002650,59420930,2014
59238637,59420930,2014
400046591,59420930,2014
178884257,59420930,2014
488458520,59420930,2014
272585564,59420930,2014
247126233,59420930,2014
371230307,59420930,2014
24850365,59420930,2014
123098093,59420930,2014
487668159,59420930,2014
426183726,59420930,2014
219160791,59420930,2014
379687731,59420930,2014
372712947,59420930,2014
435110741,59420930,2014
389605647,59420930,2014
457034418,196798873,2014
215339670,59420930,2014
353339045,59420930,2014
195876242,196798873,2014
314625654,196798873,2014
305342333,196798873,2014
273686459,196798873,2014
255271260,196798873,2014
21489367,196798873,2014
351200257,196798873,2014
302634146,372720438,2014
167356991,196798873,2014
344461466,189561423,2014
380420615,344461466,2014
331638473,344461466,2014
167356991,344461466,2014
