paper_id,year
332017055,1997
254566973,1998
377104723,1998
318701472,1998
240908848,1998
224543467,1999
18687399,1999
478426421,1999
362302144,1999
118677911,1999
496630413,1999
356815333,1999
369728753,1999
82138306,1999
492278891,1999
64287330,1999
294860315,1999
137401079,1999
217978798,1999
62217983,1999
187774969,1999
491210804,1999
249893890,1999
391518326,1999
183117314,1999
497509073,1999
207508341,1999
57462354,1999
2365293,1999
270315462,1999
389717812,1999
489932956,1999
88067253,1999
289661742,1999
2000619,1999
48338831,1999
361546719,1999
95540334,1999
418020121,1999
86329820,1999
460324503,1999
460185467,2000
385573388,2000
32207909,2000
394632932,2000
465480589,2000
423208583,2000
357433019,2000
10589770,2000
483242145,2000
61323148,2000
250461366,2000
313595839,2000
201386690,2000
367395751,2000
250722648,2000
201356540,2000
321433867,2000
459894468,2000
424598235,2000
177024163,2000
272573015,2000
350837589,2000
306566817,2000
438658114,2000
399550364,2000
180031498,2000
304146255,2000
172639502,2000
144021527,2000
353034487,2000
38707866,2000
142657289,2000
219291879,2000
91227901,2000
425503296,2000
496527743,2000
142146152,2000
168438008,2000
167699410,2000
130425859,2000
202813444,2000
356818250,2000
223859375,2000
402911120,2000
140274735,2000
473438117,2000
409054632,2000
148802064,2000
200175247,2000
14787397,2000
224397174,2000
96166292,2000
98073353,2000
392958406,2000
434470756,2000
230944925,2000
446695901,2000
391073107,2000
406713103,2000
362514401,2000
337193731,2000
62388965,2000
393042974,2000
55335964,2000
255606340,2000
316821312,2000
392647992,2000
47829827,2000
290997036,2000
257104587,2000
484171223,2000
360785612,2000
382258956,2001
67502255,2001
396359424,2001
104307114,2001
97282399,2001
5000695,2001
116634316,2001
122182226,2001
205954099,2001
396614622,2001
15617209,2001
454645639,2001
121939167,2001
93145666,2001
450904807,2001
237509266,2001
299760718,2001
166131264,2001
195547334,2001
448981217,2001
331304145,2001
481698474,2001
43955000,2001
489304202,2001
288525329,2001
295663948,2001
402557285,2001
92178509,2001
141479948,2001
355619517,2001
370746105,2001
289562016,2001
38466000,2001
227464474,2001
304019884,2001
241062222,2001
41551475,2001
479280194,2001
378321129,2001
105253388,2001
123627355,2001
374589694,2001
89992556,2001
174905048,2001
377405559,2001
146529326,2001
209507751,2001
291583696,2001
243078416,2001
145700072,2001
350563423,2001
125708525,2001
327740533,2001
348475160,2001
269628626,2001
147259002,2001
74190939,2001
182234183,2001
450495849,2001
214534692,2001
392125280,2001
301777396,2001
240076110,2001
206956506,2001
302706919,2001
5802533,2001
325490285,2001
449498690,2001
470618737,2001
269315109,2001
207442871,2001
8175417,2001
380477334,2001
155751021,2001
144041944,2001
214906287,2001
130803453,2001
140951978,2001
491493364,2001
137717071,2001
445506773,2001
261878332,2001
357420334,2001
163097610,2001
163260152,2001
234419590,2001
