reference_id,paper_id
223688399,26632145
223688399,116826958
223688399,239263407
223688399,185400188
223688399,360239631
223688399,106385315
223688399,115036778
223688399,96175448
223688399,291840368
223688399,454846316
223688399,216867472
223688399,63827455
223688399,428285982
223688399,55542914
223688399,265028399
223688399,236916968
223688399,151025481
223688399,396457747
223688399,396527282
223688399,186859393
223688399,66531061
223688399,278275053
223688399,12132642
223688399,342508775
223688399,81054531
223688399,277657962
223688399,390806429
223688399,424484896
223688399,394539792
223688399,149658676
223688399,411937192
223688399,181343691
223688399,42148958
223688399,105488333
223688399,279287191
223688399,481047443
223688399,354071787
223688399,56014695
223688399,107175083
223688399,41510905
223688399,231484138
223688399,419773965
223688399,121586679
223688399,233908474
223688399,120654031
223688399,168853192
223688399,9840555
223688399,406048447
223688399,8272550
223688399,424425344
223688399,368633933
223688399,323480720
223688399,239389526
223688399,418454665
223688399,100623220
239263407,351644342
115036778,328334386
456925904,394414727
456925904,72907544
96175448,298160155
96175448,490426328
96175448,69813138
96175448,53254627
291840368,226693722
291840368,110923555
291840368,26067321
328334386,456925904
328334386,253400225
328334386,76108437
328334386,444333275
328334386,186584420
328334386,317666629
328334386,104846799
328334386,349856964
328334386,353996427
328334386,279736524
328334386,258089328
328334386,124525206
328334386,231365927
328334386,494868348
328334386,120811500
328334386,375448860
328334386,50208858
328334386,171744531
328334386,237799532
328334386,190627690
454846316,344451360
344451360,341920456
216867472,366474233
216867472,53385412
253400225,466067419
428285982,116920938
396457747,138357119
317666629,7021074
317666629,403605048
317666629,395880773
317666629,403565735
394414727,255416513
394414727,347776346
394414727,332809688
394414727,485994902
394414727,320426270
394414727,264475177
394414727,166317893
394414727,69111726
394414727,75624364
394414727,168540969
104846799,311920440
104846799,443625855
107175083,217502934
494868348,423491549
171744531,40772227
