paper_id,reference_id,year
8777697,99188113,1995
498094871,99188113,1995
352699142,99188113,1995
39453343,99188113,1995
470391866,99188113,1995
47465484,99188113,1995
328968254,99188113,1995
213847386,99188113,1995
360295978,99188113,1995
434422602,99188113,1995
34702267,99188113,1995
458903138,99188113,1995
110883302,99188113,1996
258439772,99188113,1996
133891149,99188113,1996
72511238,99188113,1996
224545958,99188113,1996
150259269,99188113,1996
150259269,484167263,1996
498379872,99188113,1996
232554601,99188113,1996
122289843,99188113,1996
453449746,99188113,1996
340111630,99188113,1996
132709051,99188113,1996
176475532,99188113,1996
484167263,99188113,1996
345013288,99188113,1996
32961074,99188113,1996
118448001,99188113,1996
256164411,99188113,1996
263986323,99188113,1996
460930203,99188113,1996
420339123,99188113,1996
205392586,99188113,1996
116964176,109033005,1996
362939997,109033005,1996
147553182,99188113,1996
200688906,99188113,1996
220568902,99188113,1996
484167263,150259269,1996
442302577,99188113,1996
366330977,99188113,1996
49421440,99188113,1996
362939997,99188113,1996
164116985,99188113,1996
283583902,99188113,1996
362343228,99188113,1996
349863505,99188113,1996
461925146,99188113,1996
369063801,99188113,1996
498379872,109033005,1996
36899220,99188113,1996
109033005,99188113,1996
248929776,99188113,1996
222208716,99188113,1996
223726845,99188113,1996
147553182,109033005,1996
423945403,99188113,1996
77081912,99188113,1996
116964176,99188113,1996
176475532,116964176,1996
366175505,99188113,1997
105077367,99188113,1997
204660148,99188113,1997
105077367,109033005,1997
312153239,168264828,1997
361004464,99188113,1997
294241092,99188113,1997
353489411,109033005,1997
4170253,99188113,1997
454065988,99188113,1997
129646424,109033005,1997
346613302,99188113,1997
40804050,99188113,1997
65519708,99188113,1997
18461982,109033005,1997
151845893,99188113,1997
23564665,99188113,1997
353489411,60953425,1997
313334903,99188113,1997
17150660,369063801,1997
112911841,99188113,1997
350122433,99188113,1997
188095010,99188113,1997
312580973,99188113,1997
479476718,99188113,1997
270034503,99188113,1997
220745794,99188113,1997
210110350,99188113,1997
107472059,99188113,1997
269675828,99188113,1997
217501959,99188113,1997
330527263,99188113,1997
291148371,109033005,1997
246409507,99188113,1997
132709051,328798815,1997
202597359,99188113,1997
33595674,99188113,1997
253473987,110883302,1997
143378918,99188113,1997
33595674,109033005,1997
172601223,99188113,1997
29896694,99188113,1997
499003749,99188113,1997
464838513,99188113,1997
132709051,244022541,1997
41819836,99188113,1997
50559263,224545958,1997
46246922,99188113,1997
353489411,99188113,1997
102358305,18461982,1997
24651815,99188113,1997
465549436,99188113,1997
489316341,99188113,1997
51361663,109033005,1997
243261960,99188113,1997
122287826,99188113,1997
121235661,176475532,1997
22040198,154514098,1997
73512325,99188113,1997
291331041,99188113,1997
314278534,99188113,1997
71733046,99188113,1997
166941991,99188113,1997
17150660,99188113,1997
409252951,328968254,1997
82071966,99188113,1997
480920112,99188113,1997
158917603,99188113,1997
163781400,99188113,1997
202295511,99188113,1997
126402941,99188113,1997
380958096,99188113,1997
326631262,99188113,1997
187101576,99188113,1997
377349812,99188113,1997
73865666,99188113,1997
212204082,109033005,1997
478883223,99188113,1997
312153239,99188113,1997
18461982,99188113,1997
437700261,99188113,1997
219730769,99188113,1997
136399558,99188113,1997
29124363,109033005,1997
30206422,99188113,1997
195312973,99188113,1997
291083180,99188113,1997
282771106,109033005,1997
61850410,99188113,1997
72998480,99188113,1997
122287826,225075520,1997
306304375,99188113,1997
424513547,99188113,1997
268184214,99188113,1997
499003749,109033005,1997
462831760,99188113,1997
370024629,109033005,1997
205495982,99188113,1997
123427424,99188113,1997
447327114,99188113,1997
338651508,99188113,1997
330527263,109033005,1997
435728759,99188113,1997
221131866,99188113,1997
459386512,99188113,1997
50559263,99188113,1997
73305078,99188113,1997
32196895,99188113,1997
60953425,109033005,1997
312558204,99188113,1997
51361663,99188113,1997
121813483,99188113,1997
377339143,99188113,1997
374887779,109033005,1997
178289922,99188113,1997
462225226,442302577,1997
414255821,109033005,1997
102358305,72511238,1997
336910237,478883223,1997
163276653,462831760,1997
398447568,109033005,1997
400648106,99188113,1997
38410895,99188113,1997
425501944,99188113,1997
114557453,224545958,1997
120423107,99188113,1997
328798815,99188113,1997
474286120,99188113,1997
151845893,424513547,1997
282771106,312558204,1997
436484236,99188113,1997
439918479,99188113,1997
121235661,99188113,1997
253473987,109033005,1997
188357414,99188113,1997
36043794,99188113,1997
163276653,99188113,1997
60953425,99188113,1997
475711571,99188113,1997
315579907,99188113,1997
129250983,99188113,1997
282771106,462831760,1997
215455078,99188113,1997
406588294,99188113,1997
396073309,99188113,1997
374887779,99188113,1997
177505509,99188113,1997
102708810,99188113,1997
244022541,99188113,1997
474045845,99188113,1997
102358305,99188113,1997
458031808,109033005,1997
409252951,99188113,1997
129646424,99188113,1997
162258171,99188113,1997
22040198,99188113,1997
90173128,222208716,1997
232388115,99188113,1997
166999009,99188113,1997
475320374,99188113,1997
29124363,99188113,1997
261564227,99188113,1997
493722472,99188113,1997
107284747,50559263,1997
465437399,99188113,1997
216332397,99188113,1997
90173128,205495982,1997
261564227,109033005,1997
370024629,99188113,1997
168264828,99188113,1997
188357414,109033005,1997
462225226,99188113,1997
326631262,109033005,1997
472531098,99188113,1997
221412206,109033005,1997
29896694,109033005,1997
6733003,99188113,1997
442680067,99188113,1997
204633452,99188113,1997
364044933,99188113,1997
257328674,99188113,1997
312580973,109033005,1997
487335858,99188113,1997
253473987,99188113,1997
210343867,99188113,1997
291148371,99188113,1997
314278534,109033005,1997
282771106,99188113,1997
215455078,213847386,1997
154514098,99188113,1997
388913481,99188113,1997
69954791,99188113,1997
152362183,99188113,1997
418385863,99188113,1997
259644972,99188113,1997
398447568,99188113,1997
107284747,99188113,1997
107284747,109033005,1997
163276653,109033005,1997
259534545,99188113,1997
102358305,109033005,1997
458031808,99188113,1997
132782916,99188113,1997
212204082,99188113,1997
306840848,99188113,1997
143569009,99188113,1997
173404957,99188113,1997
132709051,125885206,1997
209676517,99188113,1997
400648106,150259269,1997
433154490,99188113,1997
458316487,191959325,1997
17233208,99188113,1997
337735883,99188113,1997
169650058,99188113,1997
191514329,99188113,1997
228987997,99188113,1997
127594971,99188113,1997
336910237,99188113,1997
306737196,99188113,1997
24804113,99188113,1997
194602891,99188113,1997
132709051,61850410,1997
2153900,99188113,1997
114557453,99188113,1997
217501959,109033005,1997
494054434,99188113,1997
