paper_id,year
176392498,1959
175686635,1963
341935871,1964
499607475,1965
65159874,1966
77886457,1966
478060927,1971
23183925,1972
311718225,1973
164990408,1973
210258194,1973
302013041,1973
119890100,1974
265558987,1974
72470603,1974
48276211,1975
419962800,1975
251281467,1975
428952702,1976
304674208,1977
237683098,1977
137755233,1977
74812112,1977
276248922,1978
486314329,1978
21712470,1978
400510742,1978
294324388,1979
12613917,1979
474618947,1979
23159369,1979
38187659,1980
463059762,1980
149565076,1980
35049737,1981
442901066,1981
475953185,1981
121984055,1981
338851988,1981
81869872,1982
182158599,1982
158761786,1982
176264780,1982
382601488,1982
72173506,1983
448568572,1983
469549269,1983
466750273,1983
419833428,1983
472711932,1983
203366865,1983
251161794,1983
398885450,1983
53088313,1983
355144571,1984
64487315,1984
102181439,1984
396990650,1984
472857745,1984
167540953,1985
308936699,1985
338638497,1985
439284085,1985
59019903,1985
368602869,1985
9472571,1985
349850931,1985
16648157,1986
418462490,1986
278838156,1986
75021664,1986
447835290,1986
130455700,1986
138304169,1986
128710935,1986
6271141,1987
434823837,1987
50854934,1987
409784356,1988
200368818,1988
74034672,1988
352147141,1988
126544487,1989
407516717,1989
245103461,1989
266889106,1989
56538118,1989
241631808,1990
128276566,1990
198213230,1990
324823460,1991
259724617,1991
292936245,1991
242552620,1991
441363077,1992
302444751,1992
347535990,1992
410169838,1992
144524331,1992
278829988,1993
397688268,1993
4859822,1993
215209726,1993
326011442,1993
334609343,1993
389692601,1993
455951961,1993
40594308,1994
225804150,1994
183259733,1994
67705148,1994
150559169,1995
306768815,1995
145068918,1996
4496795,1996
198516020,1996
383363522,1996
100139381,1996
35040659,1996
319490677,1996
279244605,1996
475868085,1997
472031440,1997
110300679,1997
183572309,1998
212529239,1998
404402519,1998
435654623,1998
9429353,1998
471594426,1999
442769658,1999
100887168,1999
356815333,1999
147595024,1999
73795519,1999
328478337,2000
280015859,2000
493984249,2000
207898128,2000
362514401,2000
110551478,2000
389321607,2000
38707866,2000
396372281,2000
62388965,2000
141968284,2000
356227812,2001
109060453,2001
394904122,2001
228146682,2001
399034787,2001
121939167,2001
287702767,2001
155751021,2001
295663948,2001
377870542,2001
143028706,2001
389514602,2001
304444056,2002
275088847,2002
351572831,2002
84003346,2002
211376783,2002
125147594,2002
86788160,2002
251050994,2002
2104641,2002
214692525,2002
78133758,2002
494449961,2002
4915373,2002
477795151,2002
117080014,2002
59018283,2002
371721616,2002
202816628,2002
232202085,2002
93716501,2002
484941226,2002
488191903,2002
329243276,2003
190135784,2003
79024205,2003
495404832,2003
359414309,2003
202959545,2003
404365982,2003
18856074,2003
105788385,2003
157505089,2003
105726638,2003
430380140,2003
457452640,2003
179557319,2003
341085253,2003
357789475,2003
290423127,2003
319027072,2003
177862962,2003
120288990,2003
429630719,2003
247305190,2003
489380221,2003
242943719,2003
101850479,2003
123203720,2003
151582811,2003
193033235,2003
9121401,2003
327533451,2003
46262641,2003
52121472,2003
460826224,2003
223629791,2003
228008256,2003
312588025,2003
495132306,2003
312251668,2003
129089322,2003
331239565,2003
486121330,2003
167639475,2003
28155992,2004
37727652,2004
268563512,2004
32948137,2004
458075852,2004
262373349,2004
31401456,2004
102791268,2004
375824331,2004
37942023,2004
374785365,2004
458971965,2004
464491276,2004
289222047,2004
39888370,2004
92568870,2004
298674494,2004
427130022,2004
424636138,2004
90108896,2004
423777131,2004
68622516,2004
302715549,2004
328784661,2004
159681597,2004
418763094,2004
393444486,2004
151273850,2004
412735112,2004
309151299,2004
75165314,2004
145723374,2004
137379149,2004
79894569,2004
318113829,2004
135280249,2004
93588418,2004
103002203,2004
435864048,2004
452670657,2004
340209758,2004
451163368,2004
450709993,2004
42742762,2004
275043104,2004
379202189,2004
46878182,2004
380082924,2004
281748228,2004
50068529,2004
443256509,2004
381455657,2004
169722336,2004
168090109,2004
384256508,2004
285674385,2004
384673515,2004
437130901,2004
56645354,2004
288613879,2004
340576531,2004
189512133,2004
338852506,2004
397818555,2004
468635224,2004
222483627,2004
354237658,2004
471822382,2004
251049594,2004
489269135,2004
472576984,2004
250681859,2004
367846578,2004
220276905,2004
248737875,2004
229958630,2004
474921876,2004
231647843,2004
475837545,2004
120089830,2004
108668815,2004
476205716,2004
235689904,2004
349238732,2004
363204001,2004
355927057,2004
105326391,2004
26213043,2004
215316397,2004
399144939,2005
274880035,2005
207404885,2005
91143349,2005
333168332,2005
196550281,2005
97999675,2005
257573809,2005
63042495,2005
131251520,2005
388558394,2005
276400353,2005
397486345,2005
106149905,2005
45041647,2005
276712588,2005
446830757,2005
448580928,2005
299673456,2005
155865528,2005
178778822,2005
498420595,2005
269091817,2005
69754822,2005
489564504,2005
7712713,2005
489438284,2005
353012599,2005
329357068,2005
429567795,2005
451722219,2005
134754328,2005
29523785,2005
392007618,2005
321844898,2005
155370303,2005
330643790,2005
488185280,2005
488107132,2005
377972024,2005
353471472,2005
474443052,2005
348512628,2005
137910488,2005
137898391,2005
435926001,2005
282944930,2005
189939747,2005
96200524,2005
56835681,2005
384800675,2005
288965374,2005
288248436,2005
129350582,2005
285116312,2005
54899467,2005
200778592,2005
15972409,2005
240453291,2005
382618341,2005
200320316,2005
56622465,2005
127663116,2005
435167313,2005
444266063,2005
474609412,2005
338611423,2005
333581071,2005
189285691,2005
12421987,2005
394554,2005
175078102,2005
160816561,2005
256771582,2005
279389811,2005
445061246,2005
348662722,2005
334108309,2005
103072433,2005
364555616,2005
198146565,2005
338574028,2005
93259650,2005
431787963,2005
328395740,2005
271638469,2005
70745411,2005
37056660,2005
470480108,2005
368123044,2005
341357587,2005
267319559,2005
258464191,2005
181912409,2005
466498677,2005
104671065,2005
368221447,2005
469135845,2005
406054925,2005
100606868,2005
185651104,2005
221908273,2005
213052356,2005
355155760,2005
221579601,2005
75208438,2005
149603516,2005
124516783,2005
5024470,2005
148318618,2005
395259823,2005
74479340,2005
267540625,2005
494275072,2005
263684254,2005
216659095,2005
416963426,2005
399582390,2005
399609101,2005
77457897,2005
400064483,2005
458925782,2005
346914170,2005
218366147,2005
183492014,2005
317988571,2005
6100567,2005
461506558,2005
262834940,2005
191026340,2005
397256796,2005
395725992,2005
222431684,2005
406669968,2006
286010,2006
497267484,2006
432092323,2006
396037201,2006
59018844,2006
58590934,2006
233107954,2006
385669066,2006
3505849,2006
312631339,2006
53109079,2006
478674447,2006
497149767,2006
439072079,2006
54733054,2006
143069254,2006
349720741,2006
165771997,2006
349812344,2006
144224558,2006
93667750,2006
144290870,2006
358793093,2006
335080825,2006
3340161,2006
57249490,2006
220254721,2006
164732506,2006
314490362,2006
365201814,2006
334736238,2006
405711112,2006
144575265,2006
161608436,2006
310656948,2006
431120562,2006
116521753,2006
116203406,2006
329766794,2006
329673361,2006
154497967,2006
398881908,2006
412801204,2006
414032862,2006
321498313,2006
68683141,2006
420402150,2006
321139701,2006
140719405,2006
478653581,2006
87428502,2006
82497509,2006
327667628,2006
353627560,2006
71704772,2006
489918343,2006
361009401,2006
71274024,2006
416974472,2006
132846318,2006
232505685,2006
10965622,2006
299251406,2006
484302353,2006
111671186,2006
61910621,2006
231137924,2006
113334468,2006
297619517,2006
70653783,2006
356419632,2006
230126312,2006
310622733,2006
149220529,2006
298225722,2006
310066804,2006
76319962,2006
409633399,2006
359786780,2006
75836193,2006
5102483,2006
332519201,2006
91476650,2006
393953440,2006
326952895,2006
132211299,2006
427258718,2006
335252300,2006
465726146,2006
436128945,2006
446387390,2006
367475136,2006
469573073,2006
247227725,2006
279445456,2006
183169277,2006
48005782,2006
456662957,2006
