paper_id,year
386795426,1995
315356065,1996
462562365,1996
56158074,1997
413395130,1997
61941673,1997
230197503,1997
199431051,1997
412545204,1997
177124750,1998
233701478,1998
131314942,1998
250134295,1998
371364408,1998
119369067,1999
170778482,1999
497262904,1999
89047407,1999
124536124,1999
207410595,1999
451084519,1999
195468185,1999
259925011,1999
377022227,2000
297115577,2000
488705143,2000
173996710,2000
78506303,2000
67578276,2000
160407664,2000
321263484,2000
157356837,2000
170948535,2000
400125264,2000
50808015,2000
230598780,2000
333453298,2000
133054915,2000
298205647,2001
277368814,2001
223145186,2001
40973539,2001
416637049,2001
252040284,2001
38384072,2001
428757494,2001
380772272,2001
408473682,2001
447537559,2001
437887023,2001
323592778,2001
371353083,2001
140051670,2001
246503408,2001
320351921,2001
7274437,2001
323472725,2001
213486188,2001
160144750,2001
275893803,2002
397585575,2002
228770239,2002
439797628,2002
222367510,2002
435005373,2002
168229982,2002
140200315,2002
375015362,2002
178274178,2002
395337620,2002
413736799,2002
342726762,2002
380246118,2002
440911498,2002
173114076,2002
34037815,2002
218070601,2002
359043969,2002
308222017,2002
280427155,2002
347859748,2002
186657417,2002
236519,2003
351934117,2003
277047294,2003
237294379,2003
372762874,2003
330900424,2003
494378421,2003
365890517,2003
454499043,2003
129089105,2003
234855952,2003
166994335,2003
253808945,2003
235248063,2003
238474590,2003
266280397,2003
87036626,2003
86010875,2003
377000554,2003
310720514,2003
204430312,2003
111004348,2003
473353839,2003
82413233,2004
426578656,2004
174040189,2004
70991218,2004
116625156,2004
448754659,2004
226967460,2004
159788951,2004
419334550,2004
372221294,2004
471477058,2004
350549238,2004
124709277,2004
388953105,2004
298478731,2004
101827064,2004
176242228,2004
447488639,2004
158974104,2004
14782605,2004
100812405,2004
112463505,2004
207646949,2004
174993200,2005
138953405,2005
39039546,2005
135691238,2005
18339501,2005
308230947,2005
461324826,2005
174803983,2005
72030654,2005
78079664,2005
49511182,2005
317900958,2005
178985890,2005
349314769,2005
409525572,2005
186223435,2005
485975676,2005
87199900,2005
218484831,2005
488748852,2005
141680717,2005
402407367,2005
210358971,2005
175534916,2005
49123693,2005
1536678,2005
125835119,2005
408404061,2005
166370563,2005
355361690,2005
475829016,2005
222631662,2006
252066899,2006
175744500,2006
108628261,2006
209456479,2006
174480880,2006
123832346,2006
380141167,2006
78855794,2006
41391013,2006
116100690,2006
239753624,2006
438567047,2006
419084527,2006
298528611,2006
296746123,2006
266580956,2006
368800138,2006
430139790,2006
222860483,2006
327337908,2006
387046111,2006
156210487,2006
406626961,2006
902337,2006
352044232,2006
456800154,2006
456692057,2006
440641019,2006
185625625,2007
176294263,2007
140033032,2007
467490647,2007
350999475,2007
89254259,2007
80387203,2007
11974323,2007
224699568,2007
242997040,2007
106537578,2007
104448285,2007
202296067,2007
438475842,2007
495572328,2007
482819704,2007
485935889,2007
405558174,2007
102800113,2007
344475621,2007
216744319,2007
151002680,2007
247965042,2007
179104541,2007
376359675,2007
497638394,2007
446014114,2007
476958032,2007
495681919,2007
161199236,2007
407230953,2007
389103264,2007
115584134,2007
312334193,2007
132311932,2007
28402868,2007
470393966,2007
167424856,2007
41596841,2007
318855351,2007
13412926,2007
238760049,2007
93357014,2007
435394271,2008
428831965,2008
383054210,2008
476944356,2008
437131179,2008
304554155,2008
224735985,2008
114448712,2008
189349230,2008
222970623,2008
63045440,2008
121092544,2008
419827775,2008
46527232,2008
273250166,2008
22614311,2008
142097580,2008
247108666,2008
237828468,2008
464337706,2008
372179657,2008
447180917,2008
99013525,2008
484804020,2008
107905421,2008
369164322,2008
480628773,2008
122770981,2008
461434227,2008
40148647,2008
47818774,2008
393534454,2008
234325401,2008
30622490,2008
232845160,2008
219591865,2008
160283329,2008
70183299,2008
172638086,2008
195642671,2008
464534146,2008
354207311,2008
142198505,2008
431751973,2008
205812327,2008
488412636,2008
164769480,2009
326439558,2009
62545332,2009
146604893,2009
460427752,2009
52861167,2009
381969323,2009
444983080,2009
163001183,2009
16538630,2009
14895389,2009
334753950,2009
273047012,2009
273288666,2009
315031215,2009
443709108,2009
158810391,2009
430590761,2009
440118536,2009
469258974,2009
209907235,2009
476375118,2009
71032481,2009
184957496,2009
208919206,2009
61388585,2009
214424644,2009
50673536,2009
423837566,2009
449761302,2009
123707244,2009
194142515,2009
273132908,2009
66880547,2009
474438971,2009
287068227,2009
285979688,2009
371754690,2009
349002167,2009
331444902,2009
448195883,2009
98503660,2009
316022553,2009
274679386,2009
81442499,2009
61810663,2009
489451901,2009
136329608,2009
196492629,2009
216575967,2009
3405202,2009
226773965,2009
407234802,2009
486953096,2009
268468146,2009
412478739,2010
199932608,2010
113872722,2010
193105069,2010
327007020,2010
477417120,2010
369625327,2010
267086722,2010
249250474,2010
237900994,2010
115910976,2010
181779284,2010
31136297,2010
213733338,2010
363081566,2010
242208437,2010
318764452,2010
462212801,2010
71945903,2010
338150104,2010
378487134,2010
276803866,2010
370283511,2010
381741230,2010
175251486,2010
375581645,2010
444486727,2010
25039545,2010
134694204,2010
498674733,2010
131796705,2010
288243773,2010
30074539,2010
268525242,2010
115836312,2010
226943483,2010
110497797,2010
214556610,2010
19995863,2010
478112709,2010
375395208,2010
179758422,2010
286004042,2011
36418335,2011
79315068,2011
47335850,2011
78226498,2011
47765970,2011
448463226,2011
242464837,2011
222020304,2011
175803143,2011
423773317,2011
259729113,2011
391292949,2011
435412080,2011
278402312,2011
312853596,2011
171500907,2011
340600896,2011
482317173,2011
348547237,2011
287514148,2011
459342698,2011
15538082,2011
201181720,2011
312548281,2011
336209901,2011
277972435,2011
62361938,2011
106018413,2011
331697599,2011
160811645,2011
455626216,2011
143863718,2011
174541556,2011
196449197,2011
1913847,2011
483907537,2011
102365552,2011
205505938,2011
255222671,2011
351269257,2011
383652139,2011
237797072,2011
456070682,2011
472318359,2011
395542754,2011
411762321,2011
330106198,2011
121443421,2011
226393681,2012
469287307,2012
58045259,2012
232008051,2012
116469531,2012
356320090,2012
92932706,2012
252202906,2012
343070859,2012
255513606,2012
121374429,2012
396367578,2012
40696621,2012
423788953,2012
304615414,2012
281009280,2012
156643583,2012
464405071,2012
238852393,2012
120495489,2012
438066921,2012
82251513,2012
168110314,2012
253574578,2012
206598346,2012
474844724,2012
165662790,2012
102136776,2012
475487665,2012
122689686,2012
379292327,2012
423798100,2012
235705543,2012
97085454,2012
67242194,2012
13492910,2012
369983019,2012
380478090,2012
207408980,2012
369322205,2012
312084020,2012
202843601,2012
282198943,2012
43174454,2012
280706404,2012
4970137,2012
43860944,2012
196192702,2012
191307076,2012
90704133,2012
417342505,2012
309006039,2012
105626953,2012
296961150,2012
193028956,2012
17225699,2012
268453646,2012
413399753,2012
345374331,2012
460678421,2012
409719081,2012
471036322,2012
270316307,2012
261491103,2012
18279056,2012
25070286,2013
181936796,2013
279252479,2013
351778746,2013
22726763,2013
69237265,2013
125878943,2013
471457191,2013
470497740,2013
181462759,2013
77795136,2013
299289738,2013
8546425,2013
342697538,2013
165677440,2013
250653228,2013
138516516,2013
321277497,2013
64468378,2013
495859867,2013
362787022,2013
279939542,2013
422346974,2013
45236173,2013
358344491,2013
8551243,2013
232753478,2013
180384830,2013
364923717,2013
451987131,2013
165113563,2013
267952591,2013
349581743,2013
429502888,2013
396500553,2013
499080144,2013
420031722,2013
167103231,2013
466034343,2013
286823456,2013
376246390,2013
296978733,2013
359960759,2013
442632526,2013
420197267,2013
439953663,2013
196467614,2013
67765387,2013
284433368,2013
72123065,2013
467856037,2013
16181864,2013
220248118,2013
104449529,2013
478771822,2013
117901884,2013
197393292,2013
487847145,2013
314507406,2013
154629616,2013
57965638,2013
479068223,2013
69357308,2013
241595829,2013
116819823,2013
257704998,2013
293949759,2013
228264154,2013
55539338,2013
44242969,2013
225879210,2013
346111180,2013
488281762,2013
259537963,2013
468536912,2013
96059332,2013
358507804,2013
338499843,2013
10079124,2013
111181289,2013
332377972,2013
20935774,2014
410273063,2014
281816376,2014
76510026,2014
42269625,2014
115713550,2014
186422046,2014
396673925,2014
154772617,2014
54563905,2014
65419446,2014
87137337,2014
450390542,2014
317384659,2014
9976097,2014
201602746,2014
498337571,2014
413487367,2014
53076707,2014
189022762,2014
93325691,2014
243652062,2014
265927759,2014
400788606,2014
50702170,2014
115742010,2014
340981433,2014
50513934,2014
214410327,2014
475152793,2014
458653373,2014
369417985,2014
293306575,2014
477304470,2014
100502644,2014
259301047,2014
360396382,2014
158327862,2014
378149133,2014
397950187,2014
346182654,2014
427786968,2014
292698730,2014
187352346,2014
101161390,2014
368508286,2014
49707054,2014
367288257,2014
125458723,2014
445911882,2014
21483192,2014
10559970,2014
293465454,2014
273928052,2014
248761367,2014
330516412,2014
486476301,2014
161497692,2014
218436241,2014
62154223,2014
245031126,2014
399708953,2014
314189508,2014
262965121,2014
122813904,2014
482787913,2014
307363412,2014
494260276,2014
408908422,2014
322353819,2014
164127087,2014
83905551,2014
5305626,2014
262113516,2014
399892451,2014
132555710,2014
387701242,2014
340622051,2014
383313932,2014
282860139,2014
54546774,2014
6760983,2014
386334698,2014
456321178,2014
19388423,2014
281861717,2014
458923830,2014
300928523,2014
485000921,2014
132254576,2014
235959802,2014
465401127,2014
302869073,2014
185957169,2014
106614677,2014
286526667,2014
185736228,2014
297575948,2014
140467330,2014
266451001,2014
234944974,2014
227498228,2014
481873705,2014
313488489,2014
172475526,2014
384615941,2014
469230341,2014
405189526,2014
409474543,2014
454835963,2014
497110601,2014
246321146,2014
63912704,2014
156227470,2014
456134005,2014
493856631,2014
206056832,2014
232826137,2014
8203550,2014
198167927,2014
343596577,2014
492589215,2014
162069740,2014
58445814,2014
476883673,2014
353339045,2014
7199336,2014
346008589,2014
419303123,2014
300693135,2014
154686342,2014
459707506,2014
327410303,2014
341582476,2014
223180428,2014
168338164,2014
132243814,2014
152390734,2014
400331885,2014
409859187,2014
71665824,2014
274849248,2014
248331166,2014
324584789,2015
131345766,2015
399778719,2015
15282118,2015
442259714,2015
440927240,2015
454476004,2015
154858854,2015
367055308,2015
439400645,2015
332802811,2015
379498185,2015
114293976,2015
362933216,2015
82833871,2015
303673566,2015
394937247,2015
265930436,2015
36233911,2015
410476807,2015
29935247,2015
297586898,2015
389182274,2015
7719369,2015
458383019,2015
197875189,2015
388400898,2015
307982562,2015
496111780,2015
51324031,2015
283086320,2015
398789340,2015
312676146,2015
108608768,2015
240804889,2015
105119299,2015
355055436,2015
268714093,2015
202630869,2015
32540689,2015
246241326,2015
135354432,2015
117999297,2015
175889802,2015
295839698,2015
213452795,2015
112841475,2015
279711685,2015
389999392,2015
242671759,2015
95201463,2015
403138730,2015
170831037,2015
317765396,2015
416639504,2015
197214403,2015
76782396,2015
16744945,2015
98623597,2015
419227037,2015
233720579,2015
461162941,2015
341255419,2015
448638981,2015
135647208,2015
337721545,2015
364355327,2015
151234127,2015
268549576,2015
302538458,2015
436606278,2015
291816984,2015
7791497,2015
356580309,2015
445979346,2015
421047769,2015
438358291,2015
96023604,2015
394009567,2015
252232425,2015
352184528,2015
339133990,2015
128711009,2015
143796076,2015
246921100,2015
115670411,2015
403459125,2015
179630039,2015
111427357,2015
330321606,2015
64100225,2015
371142389,2015
160517219,2015
257420840,2015
